CERCID,RESEARCHER,SITE,SEX,AGE,CHILDREN,FORMALED,MAT1,SEC1,MAT1C,MCONF,OMNI.BG,DIEPUN,MBG,BGPERFHO,OMNI.LG,LGDIEPUN,MLG,LGPERFHO
CERC501,Purzycki,Tyva Republic,0,63,6,11,0,1,2,1,1,1,3.33,4,0.5,0.5,2.67,4
CERC502,Purzycki,Tyva Republic,0,34,2,18,0,1,2,1,1,0.5,2,NA,1,1,2,1
CERC503,Purzycki,Tyva Republic,0,30,2,17,0,1,2,1,1,1,2.67,3,1,1,2.67,NA
CERC504,Purzycki,Tyva Republic,1,54,3,14,0,1,2,1,1,1,3.33,3,1,1,3,2
CERC506,Purzycki,Tyva Republic,1,31,3,15,0,1,2,1,NA,0,2,NA,0,0,1.33,NA
CERC515,Purzycki,Tyva Republic,1,24,0,16,0,1,2,1,1,1,2.5,1,0.5,0.5,1.67,1
CERC516,Purzycki,Tyva Republic,0,37,1,17,0,1,2,1,1,1,4,2,0,0.5,2,NA
CERC190,Willard,Lovu,0,44,2,11,0,1,2,1,1,1,2.33,1,NA,NA,NA,NA
CERC201,Willard,Lovu,1,20,NA,13,0,1,2,1,1,0.5,3.33,2,NA,NA,NA,NA
CERC202,Willard,Lovu,0,55,4,8,0,1,2,1,1,0.5,2.33,1,NA,NA,NA,NA
CERC252,Willard,Lovu,0,36,1,12,0,1,2,1,1,1,2.33,1,NA,NA,NA,NA
CERC264,Willard,Lovu,1,19,0,9,0,1,2,1,1,1,3.67,1,NA,NA,NA,NA
CERC282,Xygalatas,Mauritius,1,35,2,11,0,1,2,1,1,1,2.67,4,0,0,0,0
CERC297,Xygalatas,Mauritius,1,21,0,11,0,1,2,1,1,1,3,3,1,0,2.33,NA
CERC300,Xygalatas,Mauritius,0,57,3,2,0,1,2,1,1,0.5,0,3,0,0,0,0
CERC304,Xygalatas,Mauritius,1,61,3,6,0,1,2,1,0.5,0.5,3.67,3,0,0.5,0,0
CERC307,Xygalatas,Mauritius,1,41,2,6,0,1,2,1,1,1,2.33,4,1,1,1.67,4
CERC308,Xygalatas,Mauritius,1,33,0,6,0,1,2,1,1,1,0,0,0,0.5,0,0
CERC309,Xygalatas,Mauritius,1,21,0,6,0,1,2,1,0,0.5,2,1,0,0,0,0
CERC310,Xygalatas,Mauritius,1,26,0,6,0,1,2,1,1,1,0,0,0.5,1,1.33,0
CERC313,Xygalatas,Mauritius,1,33,2,6,0,1,2,1,1,1,2,3,0,0,0,0
CERC315,Xygalatas,Mauritius,0,35,2,9,0,1,2,1,1,1,0,4,1,0.5,1.33,0
CERC316,Xygalatas,Mauritius,1,22,0,6,0,1,2,1,1,0.5,3.33,1,0,0,4,0
CERC317,Xygalatas,Mauritius,1,24,0,11,0,1,2,1,1,1,2.33,4,0.5,1,1.33,NA
CERC318,Xygalatas,Mauritius,0,40,2,11,0,1,2,1,1,0,2.33,4,0,0.5,1.33,0
CERC319,Xygalatas,Mauritius,1,78,3,6,0,1,2,1,1,0,1.67,4,0,0.5,1.67,3
CERC320,Xygalatas,Mauritius,0,18,0,6,0,1,2,1,1,1,2.33,4,0,0.5,2.33,0
CERC324,Xygalatas,Mauritius,0,18,0,10,0,1,2,1,1,1,2,3,0.5,1,2.33,0
CERC328,Xygalatas,Mauritius,1,26,0,10,0,1,2,1,1,1,0,3,0.5,0.5,0,0
CERC329,Xygalatas,Mauritius,0,18,0,13,0,1,2,1,1,NA,3,0,0,0,1,0
CERC331,Xygalatas,Mauritius,0,20,0,13,0,1,2,1,1,1,3.33,3,1,1,2.67,0
CERC336,Xygalatas,Mauritius,1,45,2,11,0,1,2,1,1,0.5,3.33,0,0.5,1,2.33,0
CERC337,Xygalatas,Mauritius,1,34,0,6,0,1,2,1,0,0,0,NA,0,0.5,0,NA
CERC340,Xygalatas,Mauritius,0,43,2,3,0,1,2,1,1,0.5,2.33,4,0.5,1,1.67,0
CERC341,Xygalatas,Mauritius,0,24,0,9,0,1,2,1,1,0.5,3,4,1,1,1.67,4
CERC342,Xygalatas,Mauritius,1,56,1,11,0,1,2,1,1,1,2.67,4,1,1,1,2
CERC343,Xygalatas,Mauritius,1,19,0,11,0,1,2,1,1,1,2,0,1,0.5,0.67,0
CERC351,Xygalatas,Mauritius,0,34,2,6,0,1,2,1,1,1,2,4,0,0,0,0
CERC354,Xygalatas,Mauritius,1,36,0,6,0,1,2,1,1,1,4,4,0,0,0,0
CERC355,Xygalatas,Mauritius,1,66,4,7,0,1,2,1,1,0.5,2.33,4,0,0,0.67,0
CERC360,Cohen,Marajo,1,52,0,8,1,0,2,1,1,1,2.67,4,1,0.5,0,4
CERC362,Cohen,Marajo,1,36,3,12,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA
CERC375,Cohen,Marajo,0,45,3,5,1,0,2,1,1,0.5,4,3,NA,NA,NA,NA
CERC376,Cohen,Marajo,1,18,0,NA,1,0,2,1,1,1,2,4,1,0,1.67,2
CERC380,Cohen,Marajo,0,17,0,NA,1,0,2,1,1,1,3,3,1,1,2.67,3
CERC383,Cohen,Marajo,1,47,1,11,1,0,2,1,1,1,0.33,4,1,1,1,4
CERC384,Cohen,Marajo,1,60,8,5,1,0,2,1,1,0.5,2,4,1,1,3,4
CERC390,Cohen,Marajo,0,26,0,10,1,0,2,1,1,1,2.67,2,0,0,2,NA
CERC394,Cohen,Marajo,0,60,8,2,1,0,2,1,1,1,2.33,4,1,0.5,1.67,3
CERC409,Cohen,Marajo,1,27,3,15,1,0,2,1,1,0.5,3.33,3,NA,NA,NA,NA
CERC414,Cohen,Marajo,1,23,2,7,1,0,2,1,1,0.5,3,NA,0,0,0,NA
CERC416,Cohen,Marajo,1,22,1,11,1,0,2,1,1,1,2.33,3,1,0.5,2.67,3
CERC418,Cohen,Marajo,1,21,0,10,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA
CERC427,Cohen,Marajo,1,54,2,5,1,0,2,1,1,1,2.67,4,1,0.5,2,3
CERC429,Cohen,Marajo,1,57,3,17,1,0,2,1,1,1,0.67,4,1,1,NA,4
CERC430,Cohen,Marajo,0,22,1,11,1,0,2,1,1,1,3,NA,1,0.5,0,NA
CERC434,Cohen,Marajo,1,21,0,11,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA
CERC519,McNamara,Yasawa,1,24,0,8,1,0,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC524,McNamara,Yasawa,1,58,4,9,1,0,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC531,McNamara,Yasawa,1,22,1,10,1,0,2,1,1,1,3,2,0,0.5,0,0
CERC534,McNamara,Yasawa,1,55,4,11,1,0,2,1,1,0.5,4,1,0,0.5,0.33,0
CERC538,McNamara,Yasawa,1,21,0,8,1,0,2,1,1,0.5,4,1,0,0.5,0.33,0
